,Address,AddressAccuracy,AddressNumberAndStreet,Block,Date,Latitude,Longitude,NumMosquitos,Species,Street,Time,Trap,WnvPresent,spray
15,"1100 South Peoria Street, Chicago, IL 60608, USA",8.0,"1100  S PEORIA ST, Chicago, IL",11.0,2007-05-29,41.862292,-87.64886,1.0,CULEX RESTUANS, S PEORIA ST,,T091,0.0,0
16,"1700 West 95th Street, Chicago, IL 60643, USA",9.0,"1700  W 95TH ST, Chicago, IL",17.0,2007-05-29,41.720848,-87.666014,3.0,CULEX RESTUANS, W 95TH ST,,T094,0.0,0
17,"2200 West 89th Street, Chicago, IL 60643, USA",8.0,"2200  W 89TH ST, Chicago, IL",22.0,2007-05-29,41.731922,-87.677512,5.0,CULEX RESTUANS, W 89TH ST,,T096,0.0,0
18,"2200 West 89th Street, Chicago, IL 60643, USA",8.0,"2200  W 89TH ST, Chicago, IL",22.0,2007-05-29,41.731922,-87.677512,1.0,CULEX PIPIENS, W 89TH ST,,T096,0.0,0
19,"North Streeter Drive, Chicago, IL 60611, USA",5.0,"5300  N STREETER DR, Chicago, IL",53.0,2007-05-29,41.891126,-87.61156,1.0,CULEX PIPIENS/RESTUANS, N STREETER DR,,T129,0.0,0
20,"North Streeter Drive, Chicago, IL 60611, USA",5.0,"5300  N STREETER DR, Chicago, IL",53.0,2007-05-29,41.891126,-87.61156,2.0,CULEX RESTUANS, N STREETER DR,,T129,0.0,0
21,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",8.0,"6500  N OAK PARK AVE, Chicago, IL",65.0,2007-05-29,41.999129,-87.795585,1.0,CULEX PIPIENS/RESTUANS, N OAK PARK AVE,,T143,0.0,0
22,"7500 North Oakley Avenue, Chicago, IL 60645, USA",8.0,"7500  N OAKLEY AVE, Chicago, IL",75.0,2007-05-29,42.01743,-87.687769,1.0,CULEX PIPIENS/RESTUANS, N OAKLEY AVE,,T148,0.0,0
23,"1500 North Long Avenue, Chicago, IL 60651, USA",8.0,"1500  N LONG AVE, Chicago, IL",15.0,2007-05-29,41.907645,-87.760886,1.0,CULEX RESTUANS, N LONG AVE,,T153,0.0,0
24,"8900 South Carpenter Street, Chicago, IL 60620, USA",8.0,"8900  S CARPENTER ST, Chicago, IL",89.0,2007-05-29,41.732984,-87.649642,1.0,CULEX RESTUANS, S CARPENTER ST,,T159,0.0,0
25,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",9.0,"4100  N OAK PARK AVE, Chicago, IL",41.0,2007-06-05,41.95469,-87.800991,3.0,CULEX PIPIENS/RESTUANS, N OAK PARK AVE,,T002,0.0,0
26,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",9.0,"4100  N OAK PARK AVE, Chicago, IL",41.0,2007-06-05,41.95469,-87.800991,5.0,CULEX RESTUANS, N OAK PARK AVE,,T002,0.0,0
27,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",9.0,"4100  N OAK PARK AVE, Chicago, IL",41.0,2007-06-05,41.95469,-87.800991,1.0,CULEX PIPIENS, N OAK PARK AVE,,T002,0.0,0
28,"7900 West Foster Avenue, Chicago, IL 60656, USA",8.0,"7900  W FOSTER AVE, Chicago, IL",79.0,2007-06-05,41.974089,-87.824812,1.0,CULEX PIPIENS/RESTUANS, W FOSTER AVE,,T015,0.0,0
29,"7900 West Foster Avenue, Chicago, IL 60656, USA",8.0,"7900  W FOSTER AVE, Chicago, IL",79.0,2007-06-05,41.974089,-87.824812,2.0,CULEX RESTUANS, W FOSTER AVE,,T015,0.0,0
30,"1500 West Webster Avenue, Chicago, IL 60614, USA",8.0,"1500  W WEBSTER AVE, Chicago, IL",15.0,2007-06-05,41.9216,-87.666455,1.0,CULEX PIPIENS/RESTUANS, W WEBSTER AVE,,T045,0.0,0
31,"1500 West Webster Avenue, Chicago, IL 60614, USA",8.0,"1500  W WEBSTER AVE, Chicago, IL",15.0,2007-06-05,41.9216,-87.666455,2.0,CULEX RESTUANS, W WEBSTER AVE,,T045,0.0,0
32,"1500 West Webster Avenue, Chicago, IL 60614, USA",8.0,"1500  W WEBSTER AVE, Chicago, IL",15.0,2007-06-05,41.9216,-87.666455,1.0,CULEX PIPIENS, W WEBSTER AVE,,T045,0.0,0
33,"2500 West Grand Avenue, Chicago, IL 60654, USA",8.0,"2500  W GRAND AVE, Chicago, IL",25.0,2007-06-05,41.891118,-87.654491,1.0,CULEX RESTUANS, W GRAND AVE,,T046,0.0,0
34,"1100 Roosevelt Road, Chicago, IL 60608, USA",8.0,"1100  W ROOSEVELT, Chicago, IL",11.0,2007-06-05,41.867108,-87.654224,1.0,CULEX PIPIENS/RESTUANS, W ROOSEVELT,,T048,0.0,0
35,"1100 Roosevelt Road, Chicago, IL 60608, USA",8.0,"1100  W ROOSEVELT, Chicago, IL",11.0,2007-06-05,41.867108,-87.654224,1.0,CULEX RESTUANS, W ROOSEVELT,,T048,0.0,0
36,"1100 Roosevelt Road, Chicago, IL 60608, USA",8.0,"1100  W ROOSEVELT, Chicago, IL",11.0,2007-06-05,41.867108,-87.654224,2.0,CULEX PIPIENS, W ROOSEVELT,,T048,0.0,0
37,"1100 West Chicago Avenue, Chicago, IL 60642, USA",8.0,"1100  W CHICAGO, Chicago, IL",11.0,2007-06-05,41.896282,-87.655232,2.0,CULEX RESTUANS, W CHICAGO,,T049,0.0,0
38,"2100 North Stave Street, Chicago, IL 60647, USA",8.0,"2100  N STAVE ST, Chicago, IL",21.0,2007-06-05,41.919343,-87.694259,1.0,CULEX PIPIENS/RESTUANS, N STAVE ST,,T050,0.0,0
39,"2100 North Stave Street, Chicago, IL 60647, USA",8.0,"2100  N STAVE ST, Chicago, IL",21.0,2007-06-05,41.919343,-87.694259,1.0,CULEX RESTUANS, N STAVE ST,,T050,0.0,0
40,"2200 North Cannon Drive, Chicago, IL 60614, USA",8.0,"2200  N CANNON DR, Chicago, IL",22.0,2007-06-05,41.921965,-87.632085,3.0,CULEX RESTUANS, N CANNON DR,,T054,0.0,0
41,"2200 West 113th Street, Chicago, IL 60643, USA",8.0,"2200  W 113TH ST, Chicago, IL",22.0,2007-06-05,41.688324,-87.676709,4.0,CULEX RESTUANS, W 113TH ST,,T086,0.0,0
42,"1700 West 95th Street, Chicago, IL 60643, USA",9.0,"1700  W 95TH ST, Chicago, IL",17.0,2007-06-05,41.720848,-87.666014,2.0,CULEX PIPIENS/RESTUANS, W 95TH ST,,T094,0.0,0
43,"2200 West 89th Street, Chicago, IL 60643, USA",8.0,"2200  W 89TH ST, Chicago, IL",22.0,2007-06-05,41.731922,-87.677512,1.0,CULEX PIPIENS/RESTUANS, W 89TH ST,,T096,0.0,0
44,"2200 West 89th Street, Chicago, IL 60643, USA",8.0,"2200  W 89TH ST, Chicago, IL",22.0,2007-06-05,41.731922,-87.677512,1.0,CULEX RESTUANS, W 89TH ST,,T096,0.0,0
45,"2200 West 89th Street, Chicago, IL 60643, USA",8.0,"2200  W 89TH ST, Chicago, IL",22.0,2007-06-05,41.731922,-87.677512,1.0,CULEX PIPIENS, W 89TH ST,,T096,0.0,0
46,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",8.0,"6500  N OAK PARK AVE, Chicago, IL",65.0,2007-06-05,41.999129,-87.795585,2.0,CULEX PIPIENS/RESTUANS, N OAK PARK AVE,,T143,0.0,0
47,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",8.0,"6500  N OAK PARK AVE, Chicago, IL",65.0,2007-06-05,41.999129,-87.795585,9.0,CULEX RESTUANS, N OAK PARK AVE,,T143,0.0,0
48,"1500 North Long Avenue, Chicago, IL 60651, USA",8.0,"1500  N LONG AVE, Chicago, IL",15.0,2007-06-05,41.907645,-87.760886,3.0,CULEX RESTUANS, N LONG AVE,,T153,0.0,0
49,"8900 South Carpenter Street, Chicago, IL 60620, USA",8.0,"8900  S CARPENTER ST, Chicago, IL",89.0,2007-06-05,41.732984,-87.649642,1.0,CULEX RESTUANS, S CARPENTER ST,,T159,0.0,0
50,"9100 West Higgins Avenue, Chicago, IL 60656, USA",8.0,"9100  W HIGGINS AVE, Chicago, IL",91.0,2007-06-05,41.981964,-87.812827,2.0,CULEX RESTUANS, W HIGGINS AVE,,T009,0.0,0
51,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",8.0,"3600  N PITTSBURGH AVE, Chicago, IL",36.0,2007-06-05,41.944869,-87.832763,1.0,CULEX RESTUANS, N PITTSBURGH AVE,,T011,0.0,0
52,"7200 North Oketo Avenue, Chicago, IL 60631, USA",8.0,"7200  N OKETO AVE, Chicago, IL",72.0,2007-06-05,42.011601,-87.811506,1.0,CULEX RESTUANS, N OKETO AVE,,T016,0.0,0
53,"3800 North California Avenue, Chicago, IL 60618, USA",9.0,"3800  N CALIFORNIA AVE, Chicago, IL",38.0,2007-06-05,41.94983,-87.698457,1.0,CULEX RESTUANS, N CALIFORNIA AVE,,T019,0.0,0
54,"4900 West Balmoral Avenue, Chicago, IL 60630, USA",9.0,"4900  W BALMORAL AVE, Chicago, IL",49.0,2007-06-05,41.979243,-87.750938,1.0,CULEX RESTUANS, W BALMORAL AVE,,T025,0.0,0
55,"5800 North Western Avenue, Chicago, IL 60659, USA",9.0,"5800  N WESTERN AVE, Chicago, IL",58.0,2007-06-05,41.986921,-87.689778,2.0,CULEX RESTUANS, N WESTERN AVE,,T028,0.0,0
56,"5000 South Central Avenue, Chicago, IL 60638, USA",9.0,"5000  S CENTRAL AVE, Chicago, IL",50.0,2007-06-05,41.801498,-87.763416,1.0,CULEX PIPIENS/RESTUANS, S CENTRAL AVE,,T031,0.0,0
57,"1400 North Sacramento Avenue, Chicago, IL 60622, USA",9.0,"1400  N HUMBOLDT DR, Chicago, IL",14.0,2007-06-05,41.906638,-87.701431,3.0,CULEX RESTUANS, N HUMBOLDT DR,,T033,0.0,0
58,"South Vincennes Avenue, Chicago, IL, USA",5.0,"1000  S VINCENNES, Chicago, IL",10.0,2007-06-05,41.723195,-87.64997,1.0,CULEX RESTUANS, S VINCENNES,,T089,0.0,0
59,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",9.0,"1100  S ASHLAND AVE, Chicago, IL",11.0,2007-06-05,41.868077,-87.666901,1.0,CULEX PIPIENS/RESTUANS, S ASHLAND AVE,,T090,0.0,0
60,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",9.0,"1100  S ASHLAND AVE, Chicago, IL",11.0,2007-06-05,41.868077,-87.666901,7.0,CULEX RESTUANS, S ASHLAND AVE,,T090,0.0,0
61,"1100 South State Street, Chicago, IL 60605, USA",8.0,"1100  S STATE ST, Chicago, IL",11.0,2007-06-05,41.869216,-87.627561,1.0,CULEX PIPIENS/RESTUANS, S STATE ST,,T092,0.0,0
62,"4200 West 127th Street, Alsip, IL 60803, USA",8.0,"4200  W 127TH PL, Chicago, IL",42.0,2007-06-05,41.662014,-87.724608,2.0,CULEX PIPIENS/RESTUANS, W 127TH PL,,T135,0.0,0
63,"4200 West 127th Street, Alsip, IL 60803, USA",8.0,"4200  W 127TH PL, Chicago, IL",42.0,2007-06-05,41.662014,-87.724608,4.0,CULEX RESTUANS, W 127TH PL,,T135,0.0,0
64,"4200 West 127th Street, Alsip, IL 60803, USA",8.0,"4200  W 127TH PL, Chicago, IL",42.0,2007-06-05,41.662014,-87.724608,1.0,CULEX PIPIENS, W 127TH PL,,T135,0.0,0
65,"5300 West Agatite Avenue, Chicago, IL 60630, USA",9.0,"5300  W AGATITE AVE, Chicago, IL",53.0,2007-06-05,41.961743,-87.76007,1.0,CULEX PIPIENS/RESTUANS, W AGATITE AVE,,T141,0.0,0
66,"5300 West Agatite Avenue, Chicago, IL 60630, USA",9.0,"5300  W AGATITE AVE, Chicago, IL",53.0,2007-06-05,41.961743,-87.76007,2.0,CULEX RESTUANS, W AGATITE AVE,,T141,0.0,0
67,"4000 North Austin Avenue, Chicago, IL 60634, USA",8.0,"4000  N AUSTIN AVE, Chicago, IL",40.0,2007-06-05,41.953067,-87.776792,1.0,CULEX PIPIENS/RESTUANS, N AUSTIN AVE,,T142,0.0,0
68,"4000 North Austin Avenue, Chicago, IL 60634, USA",8.0,"4000  N AUSTIN AVE, Chicago, IL",40.0,2007-06-05,41.953067,-87.776792,3.0,CULEX RESTUANS, N AUSTIN AVE,,T142,0.0,0
69,"Chicago, IL, USA",3.0,"4300  N ASHLAND AVE OVERPASS, Chicago, IL",43.0,2007-06-05,41.878114,-87.629798,3.0,CULEX RESTUANS, N ASHLAND AVE OVERPASS,,T145,0.0,0
70,"4200 North Richmond Street, Chicago, IL 60618, USA",9.0,"4200  N RICHMOND ST, Chicago, IL",42.0,2007-06-05,41.958271,-87.702575,1.0,CULEX PIPIENS/RESTUANS, N RICHMOND ST,,T146,0.0,0
71,"4200 North Richmond Street, Chicago, IL 60618, USA",9.0,"4200  N RICHMOND ST, Chicago, IL",42.0,2007-06-05,41.958271,-87.702575,2.0,CULEX RESTUANS, N RICHMOND ST,,T146,0.0,0
72,"2800 North Francisco Avenue, Chicago, IL 60618, USA",8.0,"2800  N FRANCISCO AVE, Chicago, IL",28.0,2007-06-05,41.932094,-87.700117,1.0,CULEX RESTUANS, N FRANCISCO AVE,,T147,0.0,0
73,"1500 West Granville Avenue, Chicago, IL 60660, USA",8.0,"1500  W GRANVILLE AVE, Chicago, IL",15.0,2007-06-05,41.994469,-87.667736,1.0,CULEX PIPIENS/RESTUANS, W GRANVILLE AVE,,T149,0.0,0
74,"1800 West Farwell Avenue, Chicago, IL 60626, USA",9.0,"1800  W FARWELL AVE, Chicago, IL",18.0,2007-06-05,42.006858,-87.675919,2.0,CULEX RESTUANS, W FARWELL AVE,,T150,0.0,0
75,"7000 West Armitage Avenue, Chicago, IL 60707, USA",8.0,"7000   W ARMITAGE AVENUE, Chicago, IL",70.0,2007-06-05,41.916265,-87.800515,1.0,CULEX PIPIENS/RESTUANS,  W ARMITAGE AVENUE,,T151,0.0,0
76,"7000 West Armitage Avenue, Chicago, IL 60707, USA",8.0,"7000   W ARMITAGE AVENUE, Chicago, IL",70.0,2007-06-05,41.916265,-87.800515,10.0,CULEX RESTUANS,  W ARMITAGE AVENUE,,T151,0.0,0
77,"2500 South Millard Avenue, Chicago, IL 60623, USA",9.0,"2500  S MILLARD AVE, Chicago, IL",25.0,2007-06-05,41.846075,-87.716277,1.0,CULEX RESTUANS, S MILLARD AVE,,T152,0.0,0
78,"2100 North Lawler Avenue, Chicago, IL 60639, USA",8.0,"2100  N LAWLER AVE, Chicago, IL",21.0,2007-06-05,41.918705,-87.752329,1.0,CULEX RESTUANS, N LAWLER AVE,,T154,0.0,0
79,"3500 West 116th Street, Chicago, IL 60655, USA",9.0,"3500  W 116TH ST, Chicago, IL",35.0,2007-06-05,41.682587,-87.707973,3.0,CULEX PIPIENS/RESTUANS, W 116TH ST,,T158,0.0,0
80,"3500 West 116th Street, Chicago, IL 60655, USA",9.0,"3500  W 116TH ST, Chicago, IL",35.0,2007-06-05,41.682587,-87.707973,8.0,CULEX RESTUANS, W 116TH ST,,T158,0.0,0
81,"9300 South Doctor Martin Luther King Junior Drive, Chicago, IL 60619, USA",8.0,"9300  S DR MARTIN LUTHER KING JR DR, Chicago, IL",93.0,2007-06-05,41.725517,-87.614258,1.0,CULEX PIPIENS/RESTUANS, S DR MARTIN LUTHER KING JR DR,,T162,0.0,0
82,"3700 North Kedvale Avenue, Chicago, IL 60641, USA",8.0,"3700  N KEDVALE AVE, Chicago, IL",37.0,2007-06-05,41.948167,-87.730698,2.0,CULEX PIPIENS/RESTUANS, N KEDVALE AVE,,T218,0.0,0
83,"3700 North Kedvale Avenue, Chicago, IL 60641, USA",8.0,"3700  N KEDVALE AVE, Chicago, IL",37.0,2007-06-05,41.948167,-87.730698,1.0,CULEX RESTUANS, N KEDVALE AVE,,T218,0.0,0
84,"4500 North Campbell Avenue, Chicago, IL 60625, USA",9.0,"4500  N CAMPBELL AVE, Chicago, IL",45.0,2007-06-05,41.963976,-87.69181,1.0,CULEX RESTUANS, N CAMPBELL AVE,,T220,0.0,0
85,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",9.0,"4100  N OAK PARK AVE, Chicago, IL",41.0,2007-06-26,41.95469,-87.800991,1.0,CULEX PIPIENS/RESTUANS, N OAK PARK AVE,,T002,0.0,0
86,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",9.0,"4100  N OAK PARK AVE, Chicago, IL",41.0,2007-06-26,41.95469,-87.800991,4.0,CULEX RESTUANS, N OAK PARK AVE,,T002,0.0,0
87,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",9.0,"4100  N OAK PARK AVE, Chicago, IL",41.0,2007-06-26,41.95469,-87.800991,1.0,CULEX SALINARIUS, N OAK PARK AVE,,T002,0.0,0
88,"6200 North Mandell Avenue, Chicago, IL 60646, USA",9.0,"6200  N MANDELL AVE, Chicago, IL",62.0,2007-06-26,41.994991,-87.769279,1.0,CULEX PIPIENS/RESTUANS, N MANDELL AVE,,T007,0.0,0
89,"6200 North Mandell Avenue, Chicago, IL 60646, USA",9.0,"6200  N MANDELL AVE, Chicago, IL",62.0,2007-06-26,41.994991,-87.769279,4.0,CULEX RESTUANS, N MANDELL AVE,,T007,0.0,0
90,"7900 West Foster Avenue, Chicago, IL 60656, USA",8.0,"7900  W FOSTER AVE, Chicago, IL",79.0,2007-06-26,41.974089,-87.824812,1.0,CULEX RESTUANS, W FOSTER AVE,,T015,0.0,0
91,"1500 West Webster Avenue, Chicago, IL 60614, USA",8.0,"1500  W WEBSTER AVE, Chicago, IL",15.0,2007-06-26,41.9216,-87.666455,1.0,CULEX PIPIENS/RESTUANS, W WEBSTER AVE,,T045,0.0,0
92,"1500 West Webster Avenue, Chicago, IL 60614, USA",8.0,"1500  W WEBSTER AVE, Chicago, IL",15.0,2007-06-26,41.9216,-87.666455,1.0,CULEX RESTUANS, W WEBSTER AVE,,T045,0.0,0
93,"2500 West Grand Avenue, Chicago, IL 60654, USA",8.0,"2500  W GRAND AVE, Chicago, IL",25.0,2007-06-26,41.891118,-87.654491,1.0,CULEX PIPIENS/RESTUANS, W GRAND AVE,,T046,0.0,0
94,"2500 West Grand Avenue, Chicago, IL 60654, USA",8.0,"2500  W GRAND AVE, Chicago, IL",25.0,2007-06-26,41.891118,-87.654491,6.0,CULEX RESTUANS, W GRAND AVE,,T046,0.0,0
95,"1100 Roosevelt Road, Chicago, IL 60608, USA",8.0,"1100  W ROOSEVELT, Chicago, IL",11.0,2007-06-26,41.867108,-87.654224,2.0,CULEX PIPIENS/RESTUANS, W ROOSEVELT,,T048,0.0,0
96,"1100 West Chicago Avenue, Chicago, IL 60642, USA",8.0,"1100  W CHICAGO, Chicago, IL",11.0,2007-06-26,41.896282,-87.655232,1.0,CULEX RESTUANS, W CHICAGO,,T049,0.0,0
97,"2100 North Stave Street, Chicago, IL 60647, USA",8.0,"2100  N STAVE ST, Chicago, IL",21.0,2007-06-26,41.919343,-87.694259,1.0,CULEX RESTUANS, N STAVE ST,,T050,0.0,0
98,"2200 West 113th Street, Chicago, IL 60643, USA",8.0,"2200  W 113TH ST, Chicago, IL",22.0,2007-06-26,41.688324,-87.676709,1.0,CULEX PIPIENS/RESTUANS, W 113TH ST,,T086,0.0,0
99,"2200 West 113th Street, Chicago, IL 60643, USA",8.0,"2200  W 113TH ST, Chicago, IL",22.0,2007-06-26,41.688324,-87.676709,1.0,CULEX PIPIENS/RESTUANS, W 113TH ST,,T086,0.0,0
100,"2200 West 113th Street, Chicago, IL 60643, USA",8.0,"2200  W 113TH ST, Chicago, IL",22.0,2007-06-26,41.688324,-87.676709,2.0,CULEX RESTUANS, W 113TH ST,,T086,0.0,0
101,"2200 West 89th Street, Chicago, IL 60643, USA",8.0,"2200  W 89TH ST, Chicago, IL",22.0,2007-06-26,41.731922,-87.677512,5.0,CULEX RESTUANS, W 89TH ST,,T096,0.0,0
102,"North Streeter Drive, Chicago, IL 60611, USA",5.0,"5300  N STREETER DR, Chicago, IL",53.0,2007-06-26,41.891126,-87.61156,1.0,CULEX PIPIENS/RESTUANS, N STREETER DR,,T129,0.0,0
103,"North Streeter Drive, Chicago, IL 60611, USA",5.0,"5300  N STREETER DR, Chicago, IL",53.0,2007-06-26,41.891126,-87.61156,1.0,CULEX RESTUANS, N STREETER DR,,T129,0.0,0
104,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",8.0,"6500  N OAK PARK AVE, Chicago, IL",65.0,2007-06-26,41.999129,-87.795585,1.0,CULEX PIPIENS/RESTUANS, N OAK PARK AVE,,T143,0.0,0
105,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",8.0,"6500  N OAK PARK AVE, Chicago, IL",65.0,2007-06-26,41.999129,-87.795585,1.0,CULEX RESTUANS, N OAK PARK AVE,,T143,0.0,0
106,"7500 North Oakley Avenue, Chicago, IL 60645, USA",8.0,"7500  N OAKLEY AVE, Chicago, IL",75.0,2007-06-26,42.01743,-87.687769,2.0,CULEX PIPIENS/RESTUANS, N OAKLEY AVE,,T148,0.0,0
107,"7500 North Oakley Avenue, Chicago, IL 60645, USA",8.0,"7500  N OAKLEY AVE, Chicago, IL",75.0,2007-06-26,42.01743,-87.687769,2.0,CULEX RESTUANS, N OAKLEY AVE,,T148,0.0,0
108,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",8.0,"3600  N PITTSBURGH AVE, Chicago, IL",36.0,2007-06-26,41.944869,-87.832763,2.0,CULEX PIPIENS/RESTUANS, N PITTSBURGH AVE,,T011,0.0,0
109,"3600 North Pittsburgh Avenue, Chicago, IL 60634, USA",8.0,"3600  N PITTSBURGH AVE, Chicago, IL",36.0,2007-06-26,41.944869,-87.832763,4.0,CULEX RESTUANS, N PITTSBURGH AVE,,T011,0.0,0
110,"7200 North Oketo Avenue, Chicago, IL 60631, USA",8.0,"7200  N OKETO AVE, Chicago, IL",72.0,2007-06-26,42.011601,-87.811506,2.0,CULEX PIPIENS/RESTUANS, N OKETO AVE,,T016,0.0,0
111,"7200 North Oketo Avenue, Chicago, IL 60631, USA",8.0,"7200  N OKETO AVE, Chicago, IL",72.0,2007-06-26,42.011601,-87.811506,2.0,CULEX RESTUANS, N OKETO AVE,,T016,0.0,0
112,"3800 North California Avenue, Chicago, IL 60618, USA",9.0,"3800  N CALIFORNIA AVE, Chicago, IL",38.0,2007-06-26,41.94983,-87.698457,1.0,CULEX RESTUANS, N CALIFORNIA AVE,,T019,0.0,0
113,"4900 West Balmoral Avenue, Chicago, IL 60630, USA",9.0,"4900  W BALMORAL AVE, Chicago, IL",49.0,2007-06-26,41.979243,-87.750938,1.0,CULEX PIPIENS/RESTUANS, W BALMORAL AVE,,T025,0.0,0
114,"5800 North Western Avenue, Chicago, IL 60659, USA",9.0,"5800  N WESTERN AVE, Chicago, IL",58.0,2007-06-26,41.986921,-87.689778,1.0,CULEX PIPIENS/RESTUANS, N WESTERN AVE,,T028,0.0,0
115,"5800 North Western Avenue, Chicago, IL 60659, USA",9.0,"5800  N WESTERN AVE, Chicago, IL",58.0,2007-06-26,41.986921,-87.689778,9.0,CULEX RESTUANS, N WESTERN AVE,,T028,0.0,0
116,"1400 North Sacramento Avenue, Chicago, IL 60622, USA",9.0,"1400  N HUMBOLDT DR, Chicago, IL",14.0,2007-06-26,41.906638,-87.701431,2.0,CULEX PIPIENS/RESTUANS, N HUMBOLDT DR,,T033,0.0,0
117,"1400 North Sacramento Avenue, Chicago, IL 60622, USA",9.0,"1400  N HUMBOLDT DR, Chicago, IL",14.0,2007-06-26,41.906638,-87.701431,3.0,CULEX RESTUANS, N HUMBOLDT DR,,T033,0.0,0
118,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",9.0,"1100  S ASHLAND AVE, Chicago, IL",11.0,2007-06-26,41.868077,-87.666901,10.0,CULEX PIPIENS/RESTUANS, S ASHLAND AVE,,T090,0.0,0
119,"University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA",9.0,"1100  S ASHLAND AVE, Chicago, IL",11.0,2007-06-26,41.868077,-87.666901,19.0,CULEX RESTUANS, S ASHLAND AVE,,T090,0.0,0
